starting process map1 with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_092754\200p_8g_r1\map1.json
scene map_1 (MapHost) listening on 127.0.0.1:7301
[process:map1] one V8 started with 1 scene(s)
[map_1] MapHost scene started at 127.0.0.1:7301
map_1 accepted 127.0.0.1:52638 as conn 1
map_1 accepted 127.0.0.1:52696 as conn 2
map_1 accepted 127.0.0.1:52698 as conn 3
map_1 accepted 127.0.0.1:52699 as conn 4
map_1 accepted 127.0.0.1:52697 as conn 5
map_1 accepted 127.0.0.1:52700 as conn 6
map_1 accepted 127.0.0.1:52701 as conn 7
map_1 accepted 127.0.0.1:52702 as conn 8
[process-metrics] process=map1 cpu_percent=110.91 cpu_time_ms=28843 rss_bytes=114642944 v8_heap_used_bytes=26301552 v8_heap_total_bytes=65810432 v8_gc_count=128 v8_gc_ms=56.793 timestamp_ms=1783934899958
[metrics:map1] scene=map_1 type=MapHost processed=54032 failed=0 ts_queue=0 ts_max_queue=175 rust_queue=143 rust_max_queue=175 backpressure=0 slow_disconnects=0 update_ms=3.00 handler_ms=3.00 max_handler_ms=78.00 total_handler_ms=202752.00
[metrics:inner_transport] active=8 opened=8 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=map1 cpu_percent=111.86 cpu_time_ms=34437 rss_bytes=115744768 v8_heap_used_bytes=13960472 v8_heap_total_bytes=67383296 v8_gc_count=143 v8_gc_ms=64.986 timestamp_ms=1783934904958
[metrics:map1] scene=map_1 type=MapHost processed=64801 failed=0 ts_queue=0 ts_max_queue=175 rust_queue=175 rust_max_queue=175 backpressure=0 slow_disconnects=0 update_ms=1.00 handler_ms=1.00 max_handler_ms=78.00 total_handler_ms=231099.00
[metrics:inner_transport] active=8 opened=8 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=map1 cpu_percent=122.50 cpu_time_ms=40562 rss_bytes=115240960 v8_heap_used_bytes=21762808 v8_heap_total_bytes=67383296 v8_gc_count=159 v8_gc_ms=76.301 timestamp_ms=1783934909958
[metrics:map1] scene=map_1 type=MapHost processed=75824 failed=0 ts_queue=0 ts_max_queue=175 rust_queue=160 rust_max_queue=175 backpressure=0 slow_disconnects=0 update_ms=1.00 handler_ms=1.00 max_handler_ms=78.00 total_handler_ms=275441.00
[metrics:inner_transport] active=8 opened=8 pending=0 max_pending=0 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[process-metrics] process=map1 cpu_percent=114.03 cpu_time_ms=46265 rss_bytes=115257344 v8_heap_used_bytes=6678856 v8_heap_total_bytes=67383296 v8_gc_count=174 v8_gc_ms=83.935 timestamp_ms=1783934914959
[metrics:map1] scene=map_1 type=MapHost processed=86803 failed=0 ts_queue=0 ts_max_queue=175 rust_queue=178 rust_max_queue=178 backpressure=0 slow_disconnects=0 update_ms=1.00 handler_ms=0.00 max_handler_ms=78.00 total_handler_ms=301990.00
[map_1] perf_8g_10_200_0_1783934875186 leave map 1 unit 1000
[map_1] perf_8g_10_200_1_1783934875187 leave map 1 unit 1005
[map_1] perf_8g_10_200_28_1783934875244 leave map 1 unit 1028
[map_1] perf_8g_10_200_27_1783934875244 leave map 1 unit 1026
[map_1] perf_8g_10_200_4_1783934875187 leave map 1 unit 1001
[map_1] perf_8g_10_200_23_1783934875242 leave map 1 unit 1025
[map_1] perf_8g_10_200_8_1783934875187 leave map 1 unit 1008
[map_1] perf_8g_10_200_25_1783934875243 leave map 1 unit 1027
[map_1] perf_8g_10_200_3_1783934875187 leave map 1 unit 1006
[map_1] perf_8g_10_200_24_1783934875243 leave map 1 unit 1024
[map_1] perf_8g_10_200_5_1783934875187 leave map 1 unit 1009
[map_1] perf_8g_10_200_22_1783934875242 leave map 1 unit 1022
[map_1] perf_8g_10_200_7_1783934875187 leave map 1 unit 1004
[map_1] perf_8g_10_200_26_1783934875243 leave map 1 unit 1021
[map_1] perf_8g_10_200_9_1783934875187 leave map 1 unit 1014
[map_1] perf_8g_10_200_21_1783934875242 leave map 1 unit 1023
[map_1] perf_8g_10_200_11_1783934875187 leave map 1 unit 1013
[map_1] perf_8g_10_200_20_1783934875242 leave map 1 unit 1020
[map_1] perf_8g_10_200_13_1783934875187 leave map 1 unit 1011
[map_1] perf_8g_10_200_18_1783934875239 leave map 1 unit 1018
[map_1] perf_8g_10_200_12_1783934875187 leave map 1 unit 1016
[map_1] perf_8g_10_200_19_1783934875240 leave map 1 unit 1019
[map_1] perf_8g_10_200_2_1783934875187 leave map 1 unit 1003
[map_1] perf_8g_10_200_15_1783934875187 leave map 1 unit 1010
[map_1] perf_8g_10_200_14_1783934875187 leave map 1 unit 1007
[map_1] perf_8g_10_200_17_1783934875238 leave map 1 unit 1017
[map_1] perf_8g_10_200_16_1783934875212 leave map 1 unit 1015
[map_1] perf_8g_10_200_10_1783934875187 leave map 1 unit 1012
[map_1] perf_8g_10_200_6_1783934875187 leave map 1 unit 1002
[map_1] perf_8g_10_200_197_1783934875496 leave map 1 unit 1194
[map_1] perf_8g_10_200_196_1783934875496 leave map 1 unit 1195
[map_1] perf_8g_10_200_198_1783934875503 leave map 1 unit 1198
[map_1] perf_8g_10_200_199_1783934875504 leave map 1 unit 1199
[map_1] perf_8g_10_200_195_1783934875495 leave map 1 unit 1197
[map_1] perf_8g_10_200_194_1783934875494 leave map 1 unit 1196
[map_1] perf_8g_10_200_193_1783934875489 leave map 1 unit 1190
[map_1] perf_8g_10_200_191_1783934875488 leave map 1 unit 1192
[map_1] perf_8g_10_200_192_1783934875489 leave map 1 unit 1191
[map_1] perf_8g_10_200_190_1783934875488 leave map 1 unit 1193
[map_1] perf_8g_10_200_189_1783934875482 leave map 1 unit 1188
[map_1] perf_8g_10_200_188_1783934875482 leave map 1 unit 1187
[map_1] perf_8g_10_200_187_1783934875481 leave map 1 unit 1186
[map_1] perf_8g_10_200_186_1783934875480 leave map 1 unit 1189
[map_1] perf_8g_10_200_185_1783934875474 leave map 1 unit 1185
[map_1] perf_8g_10_200_184_1783934875474 leave map 1 unit 1182
[map_1] perf_8g_10_200_30_1783934875245 leave map 1 unit 1030
[map_1] perf_8g_10_200_183_1783934875473 leave map 1 unit 1183
[map_1] perf_8g_10_200_182_1783934875472 leave map 1 unit 1184
[map_1] perf_8g_10_200_181_1783934875468 leave map 1 unit 1181
[map_1] perf_8g_10_200_179_1783934875467 leave map 1 unit 1180
[map_1] perf_8g_10_200_180_1783934875467 leave map 1 unit 1178
[map_1] perf_8g_10_200_178_1783934875466 leave map 1 unit 1179
[map_1] perf_8g_10_200_177_1783934875461 leave map 1 unit 1176
[map_1] perf_8g_10_200_29_1783934875244 leave map 1 unit 1032
[map_1] perf_8g_10_200_176_1783934875460 leave map 1 unit 1177
[map_1] perf_8g_10_200_175_1783934875460 leave map 1 unit 1174
[map_1] perf_8g_10_200_174_1783934875459 leave map 1 unit 1175
[map_1] perf_8g_10_200_173_1783934875454 leave map 1 unit 1172
[map_1] perf_8g_10_200_172_1783934875453 leave map 1 unit 1171
[map_1] perf_8g_10_200_31_1783934875245 leave map 1 unit 1031
[map_1] perf_8g_10_200_171_1783934875452 leave map 1 unit 1173
[map_1] perf_8g_10_200_170_1783934875451 leave map 1 unit 1170
[map_1] perf_8g_10_200_169_1783934875447 leave map 1 unit 1167
[map_1] perf_8g_10_200_167_1783934875445 leave map 1 unit 1168
[map_1] perf_8g_10_200_168_1783934875446 leave map 1 unit 1166
[map_1] perf_8g_10_200_165_1783934875439 leave map 1 unit 1162
[map_1] perf_8g_10_200_164_1783934875439 leave map 1 unit 1164
[map_1] perf_8g_10_200_166_1783934875444 leave map 1 unit 1169
[map_1] perf_8g_10_200_32_1783934875245 leave map 1 unit 1029
[map_1] perf_8g_10_200_163_1783934875438 leave map 1 unit 1163
[map_1] perf_8g_10_200_162_1783934875438 leave map 1 unit 1165
[map_1] perf_8g_10_200_161_1783934875434 leave map 1 unit 1159
[map_1] perf_8g_10_200_33_1783934875250 leave map 1 unit 1035
[map_1] perf_8g_10_200_160_1783934875433 leave map 1 unit 1158
[map_1] perf_8g_10_200_159_1783934875432 leave map 1 unit 1161
[map_1] perf_8g_10_200_158_1783934875431 leave map 1 unit 1160
[map_1] perf_8g_10_200_34_1783934875250 leave map 1 unit 1033
